"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_100m3","zooplankton_count","totcnt","primary_flag","secondary_flag"
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,218,"Sagitta",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,1800,"Siphonophora",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3400,"Thaliacea",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,5100,"Phoronida",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3300,"Heteropoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,148,"Acartia danae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4061,"Aetideidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,142,"Calanoida",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4129,"Calocalanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,133,"Centropages",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4045,"Corycaeidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,130,"Cyclopoida",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4007,"Lucicutia",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4108,"Neocalanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4057,"Pleuromamma",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,176,"Pleuromamma borealis",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4013,"Pseudocalanidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4030,"Heterorhabdidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,400,"Amphipoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,700,"Appendicularia",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2000,"Euphausiacea",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,457,"Hyperiidea",55.2481813991198,1,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,300,"Thecosomata",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,117,"Candacia armata",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4112,"Centropages furcatus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4064,"Clausocalanus furcatus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,100,"Copepoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,177,"Corycaeus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,132,"Eurytemora",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,159,"Labidocera aestiva",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,146,"Mecynocera clausi",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,149,"Metridia",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,111,"Metridia longa",0,0,649,1,NA
